"","gene","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"451","PLIN2",1747.82861593558,0.889296356033219,0.136885430757254,5.28698090404596e-12,3.21073505658855e-10
"452","CDKN2B",513.88401729964,0.736021471881664,0.204270523211822,2.46799537181852e-06,2.91173788333047e-05
"453","NTRK2",3983.30259557189,1.87704293060364,0.353777989894147,7.8585091397706e-10,2.57606999607577e-08
"454","GSN",3879.9913478791,1.05824355849281,0.18134535174395,2.25046002089454e-10,8.75095971900396e-09
"455","CRB2",843.989548127956,0.547331661670016,0.485565982411249,0.00338428040794918,0.012659284971379
"456","PTGES",78.8198066947778,0.770142843130133,0.19944833588666,1.07727524671027e-06,1.43916797419848e-05
"457","HMCN2",54.0078234943605,-1.34080534928843,0.2069672773835,1.12058755187983e-12,8.05713021382276e-11
"458","PROSER2",8.72450516662798,-0.762511562267659,0.458695835966472,0.000616163840366118,0.00308041502745186
"459","CDHR1",68.1063816991295,-0.527024376486805,0.240266976046524,0.000308795873355901,0.00172591842873923
"460","ADM",1756.81628605399,1.15820054683654,0.46255091652982,4.2497093419093e-05,0.000322440614727344
"461","JPH2",302.390903256314,-0.618026318471855,0.332591765937071,0.000608862312454197,0.00305091657749485
"462","LYPD6B",149.154243670544,0.536785933525906,0.547293345221936,0.00392851651671684,0.0143088117716403
"463","VEGFC",216.208504602117,-0.651326658939823,0.145537453072288,4.34925285226965e-08,8.82765129522586e-07
"464","FREM2",3004.16417781983,0.93196439297608,0.590454211297193,0.000424527186104985,0.00225315734603005
"465","ITPR1",990.35591909899,1.13609275359106,0.214849807884529,3.21986144970802e-09,9.12274127841997e-08
"466","PRSS53",70.8616787201874,0.765781514792377,0.437906850743655,0.000514302290181944,0.00263986732782025
"467","GPR158",303.595778690101,0.597713511688187,0.308515658929734,0.000523628028205588,0.00267930917554138
"468","ANK3",935.98719383853,-0.699531869714201,0.108028178845121,1.24163511722433e-12,8.84403929525725e-11
"469","MAGI1",1490.37823074969,-0.543128636653572,0.107686670936807,1.47151507510618e-09,4.42412313409143e-08
"470","CCDC3",85.9524643236244,1.2208514957052,0.176889638466731,1.13705855222589e-13,1.09222208861366e-11
"471","ANO4",100.183800301889,-0.818088303109127,0.16410496739101,1.33028828566564e-08,3.11865545836249e-07
"472","CCDC175",8.12414422848648,0.549892977382229,0.409561998868267,0.00246236298654276,0.00973386903627367
"473","KCNE4",992.929316288094,0.888773073584281,0.157795785137609,7.55844085103443e-10,2.48840850739347e-08
"474","PTPN14",3645.39547098645,-0.63662080708423,0.107842636610735,1.852717971048e-11,9.87446854289674e-10
"475","PSTPIP2",127.357373046219,-0.586324243452328,0.145743024079463,2.5978461984818e-07,4.1992544648418e-06
"476","PDK1",790.497759329609,1.01823385097364,0.325008646700819,1.21045882861465e-05,0.000112300815122173
"477","PLEKHH2",415.415851086439,0.673307587026733,0.167153996750523,3.60676886042428e-07,5.56457264569304e-06
"478","SPARCL1",964.212308943373,1.45414415642505,0.191823895101258,2.63367100110846e-16,4.56193716703366e-14
"479","PLOD2",5328.063252406,0.858930062086659,0.219889334411496,1.1718411701725e-06,1.5519005175447e-05
"480","CLGN",349.172744824436,-0.783839460850684,0.226583200493559,4.60041627534214e-06,4.95927477263368e-05
"481","MERTK",253.212250600065,0.565797323360551,0.163150675130786,2.81667609025899e-06,3.25262073059225e-05
"482","NR4A2",103.628235943262,0.867877647181923,0.25779838279844,6.85257545437302e-06,6.95894787814843e-05
"483","PLA2R1",841.769298973744,0.658529640586537,0.130297917110709,2.68158908992721e-09,7.72693052887722e-08
"484","C16orf89",6.73914768472505,0.642994998332998,0.502813116550873,0.0018109563443707,0.0075649239674548
"485","PTPRD",2060.17239923524,0.563459934337999,0.510989142802127,0.00318850831626162,0.0120750924097914
"486","ABI3BP",138.369910261981,-0.861492213449755,0.171276005935206,1.31938937034937e-08,3.10361916238201e-07
